SprintName,VersionInfo,ItemNo,DifficultyLevel,FunctionName,ParameterName,ParameterDesc,ParameterPoint
Sprint 1,Versiyon 1,1,Orta,Fonksiyon 1,Parametre 1,Açıklama 1,5
Sprint 1,Versiyon 1,1,Orta,Fonksiyon 1,Parametre 2,Açıklama 2,3
Sprint 1,Versiyon 1,1,Orta,Fonksiyon 2,Parametre 1,Açıklama 3,4
Sprint 1,Versiyon 1,1,Orta,Fonksiyon 2,Parametre 2,Açıklama 4,2
Sprint 2,Versiyon 2,2,Kolay,Fonksiyon 1,Parametre 1,Açıklama 5,4
Sprint 2,Versiyon 2,2,Kolay,Fonksiyon 1,Parametre 2,Açıklama 6,3
Sprint 2,Versiyon 2,2,Kolay,Fonksiyon 2,Parametre 1,Açıklama 7,5
Sprint 2,Versiyon 2,2,Kolay,Fonksiyon 2,Parametre 2,Açıklama 8,2
Sprint 3,Versiyon 1,3,Zor,Fonksiyon 1,Parametre 1,Açıklama 9,3
Sprint 3,Versiyon 1,3,Zor,Fonksiyon 1,Parametre 2,Açıklama 10,2
Sprint 3,Versiyon 1,3,Zor,Fonksiyon 2,Parametre 1,Açıklama 11,5
Sprint 3,Versiyon 1,3,Zor,Fonksiyon 2,Parametre 2,Açıklama 12,4
Sprint 4,Versiyon 2,4,Kolay,Fonksiyon 1,Parametre 1,Açıklama 13,4
Sprint 4,Versiyon 2,4,Kolay,Fonksiyon 1,Parametre 2,Açıklama 14,3
Sprint 4,Versiyon 2,4,Kolay,Fonksiyon 2,Parametre 1,Açıklama 15,2
Sprint 4,Versiyon 2,4,Kolay,Fonksiyon 2,Parametre 2,Açıklama 16,4
Sprint 5,Versiyon 1,5,Zor,Fonksiyon 1,Parametre 1,Açıklama 17,5
Sprint 5,Versiyon 1,5,Zor,Fonksiyon 1,Parametre 2,Açıklama 18,2
Sprint 5,Versiyon 1,5,Zor,Fonksiyon 2,Parametre 1,Açıklama 19,4
Sprint 5,Versiyon 1,5,Zor,Fonksiyon 2,Parametre 2,Açıklama 20,3
Sprint 6,Versiyon 2,6,Orta,Fonksiyon 1,Parametre 1,Açıklama 21,3
Sprint 6,Versiyon 2,6,Orta,Fonksiyon 1,Parametre 2,Açıklama 22,4
Sprint 6,Versiyon 2,6,Orta,Fonksiyon 2,Parametre 1,Açıklama 23,5
Sprint 6,Versiyon 2,6,Orta,Fonksiyon 2,Parametre 2,Açıklama 24,3
Sprint 7,Versiyon 1,7,Kolay,Fonksiyon 1,Parametre 1,Açıklama 25,2
Sprint 7,Versiyon 1,7,Kolay,Fonksiyon 1,Parametre 2,Açıklama 26,3
Sprint 7,Versiyon 1,7,Kolay,Fonksiyon 2,Parametre 1,Açıklama 27,5
Sprint 7,Versiyon 1,7,Kolay,Fonksiyon 2,Parametre 2,Açıklama 28,4
Sprint 8,Versiyon 2,8,Zor,Fonksiyon 1,Parametre 1,Açıklama 29,4
Sprint 8,Versiyon 2,8,Zor,Fonksiyon 1,Parametre 2,Açıklama 30,3
Sprint 8,Versiyon 2,8,Zor,Fonksiyon 2,Parametre 1,Açıklama 31,5
Sprint 8,Versiyon 2,8,Zor,Fonksiyon 2,Parametre 2,Açıklama 32,2
Sprint 9,Versiyon 1,9,Orta,Fonksiyon 1,Parametre 1,Açıklama 33,5
Sprint 9,Versiyon 1,9,Orta,Fonksiyon 1,Parametre 2,Açıklama 34,4
Sprint 9,Versiyon 1,9,Orta,Fonksiyon 2,Parametre 1,Açıklama 35,3
Sprint 9,Versiyon 1,9,Orta,Fonksiyon 2,Parametre 2,Açıklama 36,2
Sprint 10,Versiyon 2,10,Kolay,Fonksiyon 1,Parametre 1,Açıklama 37,3
Sprint 10,Versiyon 2,10,Kolay,Fonksiyon 1,Parametre 2,Açıklama 38,4
Sprint 10,Versiyon 2,10,Kolay,Fonksiyon 2,Parametre 1,Açıklama 39,5
Sprint 10,Versiyon 2,10,Kolay,Fonksiyon 2,Parametre 2,Açıklama 40,3
Sprint 11,Versiyon 1,11,Zor,Fonksiyon 1,Parametre 1,Açıklama 41,4
Sprint 11,Versiyon 1,11,Zor,Fonksiyon 1,Parametre 2,Açıklama 42,2
Sprint 11,Versiyon 1,11,Zor,Fonksiyon 2,Parametre 1,Açıklama 43,3
Sprint 11,Versiyon 1,11,Zor,Fonksiyon 2,Parametre 2,Açıklama 44,5
Sprint 12,Versiyon 2,12,Orta,Fonksiyon 1,Parametre 1,Açıklama 45,2
Sprint 12,Versiyon 2,12,Orta,Fonksiyon 1,Parametre 2,Açıklama 46,3
Sprint 12,Versiyon 2,12,Orta,Fonksiyon 2,Parametre 1,Açıklama 47,5
Sprint 12,Versiyon 2,12,Orta,Fonksiyon 2,Parametre 2,Açıklama 48,4
Sprint 13,Versiyon 1,13,Kolay,Fonksiyon 1,Parametre 1,Açıklama 49,4
Sprint 13,Versiyon 1,13,Kolay,Fonksiyon 1,Parametre 2,Açıklama 50,5
Sprint 13,Versiyon 1,13,Kolay,Fonksiyon 2,Parametre 1,Açıklama 51,2
Sprint 13,Versiyon 1,13,Kolay,Fonksiyon 2,Parametre 2,Açıklama 52,3
dokuz,d,d,Medium,AjaxlaEklemeDeneme,Parametre2,Ajaxla parametre ekleme denemesi 2,9